arquivo,indice,especie_id,motivos,inspecao_humana,observacao
2370.jpg,49,18,maior elongacao; menor circularidade,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel. Caso extremamente alongado; a geometria observada e coerente.
2353.jpg,48,18,maior elongacao; menor circularidade,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel. Caso extremamente alongado; a geometria observada e coerente.
2417.jpg,50,18,maior elongacao; menor circularidade,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel. Caso extremamente alongado; a geometria observada e coerente.
1302.jpg,17,06,menor solidez; maior razao perimetro/hull,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel. Orientacao pouco/nao confiavel e coerente com a geometria quase simetrica da folha e nao representa erro de segmentacao.
1282.jpg,16,06,menor solidez; maior razao perimetro/hull,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
1269.jpg,15,06,menor solidez; maior razao perimetro/hull,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
2194.jpg,41,15,mais atributos limitrofes,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
2458.jpg,51,19,mais atributos limitrofes,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
3026.jpg,63,23,mais atributos limitrofes,correta,"Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel. A caixa minima rotacionada pode ultrapassar visualmente a imagem; comportamento conhecido do minAreaRect, nao considerado falha de segmentacao."
1052.jpg,2,01,controle sem aviso tecnico,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
1191.jpg,11,04,controle sem aviso tecnico,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
1195.jpg,12,05,controle sem aviso tecnico,correta,Folha principal segmentada adequadamente; mascara e contorno adequados; resultado visualmente utilizavel.
